asset,donchian_len,atr_mult,sma_len,final_eq,n_trades,n_long,n_short,win_rate,max_dd,sharpe
SOL,10,2.5,100,704.53,100,47,53,30.0,36.3698,-0.0916
SOL,10,2.5,200,697.34,95,43,52,29.47,37.9314,-0.0966
SOL,10,2.0,100,674.02,126,60,66,28.57,39.4106,-0.0872
BNB,30,3.0,300,1170.0,45,17,28,46.67,11.6977,0.1414
BNB,30,2.0,300,1134.43,65,27,38,35.38,14.0978,0.085
BNB,30,3.0,250,1093.49,49,21,28,46.94,15.103,0.08
BNB,30,2.5,300,1085.92,56,23,33,37.5,10.7082,0.0685
BNB,10,3.0,300,1073.31,65,28,37,44.62,15.125,0.0532
BNB,30,2.0,250,1065.54,70,31,39,34.29,16.5192,0.0469
BNB,20,3.0,300,1053.5,55,22,33,47.27,14.2402,0.048
BNB,10,3.0,250,1033.02,68,32,36,44.12,16.167,0.0306
BNB,30,2.5,250,1008.13,61,27,34,36.07,13.5936,0.0172
BNB,30,2.0,200,995.36,77,34,43,33.77,18.257,0.0094
BNB,10,2.0,300,994.3,102,44,58,34.31,18.6059,0.0099
BNB,20,3.0,250,992.68,58,26,32,46.55,18.7582,0.0079
BNB,30,2.0,150,984.91,81,37,44,30.86,19.214,0.0039
BNB,10,2.5,300,978.78,83,38,45,38.55,17.907,0.0019
BNB,30,2.0,50,976.84,101,48,53,29.7,22.4266,0.0021
BNB,30,2.0,100,964.51,90,42,48,28.89,20.1198,-0.0052
BNB,30,3.0,50,960.42,72,34,38,36.11,20.1888,-0.0082
BNB,30,3.0,200,956.66,57,25,32,38.6,19.556,-0.0175
BNB,30,3.0,150,955.01,59,27,32,38.98,19.615,-0.017
BNB,10,2.0,250,920.74,107,50,57,32.71,22.8644,-0.0183
BNB,30,3.0,100,905.78,66,31,35,36.36,20.5759,-0.0453
BNB,30,2.5,150,905.42,71,33,38,32.39,21.439,-0.046
BNB,30,2.5,200,902.3,69,31,38,31.88,21.533,-0.0491
BNB,30,2.5,50,901.12,88,43,45,31.82,23.6365,-0.0361
BNB,20,2.5,300,901.03,72,31,41,38.89,17.9112,-0.0457
BNB,20,3.0,200,882.62,65,29,36,40.0,24.613,-0.0639
BNB,20,2.0,300,879.16,87,35,52,31.03,24.5677,-0.047
BNB,10,3.0,200,872.99,76,36,40,38.16,27.973,-0.0586
BNB,30,2.5,100,868.49,80,38,42,31.25,23.9869,-0.0623
BNB,20,3.0,150,861.93,68,32,36,38.24,26.334,-0.0731
BNB,10,2.5,250,857.17,90,45,45,37.78,21.726,-0.057
BNB,10,2.0,200,855.4,113,52,61,31.86,24.914,-0.0449
BNB,20,3.0,50,845.64,85,42,43,35.29,28.2227,-0.0637
BNB,20,2.0,250,830.63,92,41,51,30.43,28.0785,-0.0701
BNB,20,2.5,250,825.51,78,37,41,37.18,21.9754,-0.0887
BNB,20,3.0,100,788.41,76,35,41,35.53,29.2616,-0.1114
BNB,10,3.0,150,776.84,82,42,40,35.37,34.087,-0.1096
BNB,10,2.5,200,776.81,97,48,49,34.02,31.469,-0.0984
BNB,20,2.0,200,769.49,98,43,55,29.59,26.0817,-0.1019
BNB,10,3.0,50,764.11,94,47,47,34.04,32.6511,-0.0952
BNB,20,2.5,50,752.62,107,54,53,32.71,30.0741,-0.1008
BNB,20,2.0,100,743.54,112,50,62,26.79,30.0829,-0.1042
BNB,10,2.0,150,742.59,123,59,64,27.64,31.968,-0.0908
BNB,20,2.0,150,741.42,103,46,57,25.24,27.7889,-0.1142
BNB,20,2.0,50,738.24,128,61,67,26.56,31.5462,-0.0921
BNB,20,2.5,200,736.06,85,40,45,32.94,27.332,-0.1438
BNB,20,2.5,150,716.81,88,42,46,30.68,29.214,-0.1531
BNB,20,2.5,100,712.55,96,45,51,31.25,30.9892,-0.143
BNB,10,2.0,50,702.38,151,74,77,25.83,37.9156,-0.0859
BNB,10,2.5,150,700.41,103,53,50,32.04,36.338,-0.1376
BNB,10,2.5,50,693.11,121,61,60,31.4,37.9506,-0.1113
BNB,10,2.0,100,691.75,134,65,69,26.87,33.3022,-0.1071
BNB,10,3.0,100,673.48,89,45,44,33.71,36.0356,-0.1673
BNB,10,2.5,100,628.95,113,58,55,29.2,39.0859,-0.1693
