donchian_len,atr_len,atr_mult,csv_md5,final_eq,n_trades,win_rate,avg_ret,max_dd,sharpe_proxy
10,14,4.0,714146da31e0afc82ac1606ae27920d6,556.52,17,29.41,0.8373,72.9499,0.0243
8,25,2.5,714146da31e0afc82ac1606ae27920d6,555.12,34,29.41,-0.7809,64.2503,-0.0531
12,30,2.5,714146da31e0afc82ac1606ae27920d6,551.58,30,33.33,-0.9301,61.7606,-0.0604
8,30,3.5,714146da31e0afc82ac1606ae27920d6,551.53,23,30.43,-0.5282,71.9187,-0.0239
5,14,3.5,714146da31e0afc82ac1606ae27920d6,550.91,24,25.0,0.0984,73.9679,0.0039
10,25,4.0,714146da31e0afc82ac1606ae27920d6,550.85,17,35.29,-0.4767,72.1273,-0.018
8,25,3.5,714146da31e0afc82ac1606ae27920d6,542.89,23,30.43,-0.6364,71.6241,-0.0292
12,25,2.5,714146da31e0afc82ac1606ae27920d6,542.02,30,33.33,-1.0004,61.5395,-0.0654
10,20,2.5,714146da31e0afc82ac1606ae27920d6,536.06,31,32.26,-0.9246,62.1639,-0.0588
8,25,3.0,714146da31e0afc82ac1606ae27920d6,535.01,28,32.14,-0.9069,63.805,-0.0525
5,14,3.0,714146da31e0afc82ac1606ae27920d6,534.39,31,32.26,-0.6011,64.6073,-0.0333
8,20,3.0,714146da31e0afc82ac1606ae27920d6,529.33,28,28.57,-0.9724,62.7523,-0.0569
5,30,3.0,714146da31e0afc82ac1606ae27920d6,529.16,31,29.03,-0.5297,66.1826,-0.0283
10,20,4.0,714146da31e0afc82ac1606ae27920d6,527.18,17,29.41,0.8266,75.0595,0.0231
5,20,3.5,714146da31e0afc82ac1606ae27920d6,527.15,24,25.0,0.0654,75.893,0.0025
12,25,3.0,714146da31e0afc82ac1606ae27920d6,515.47,25,36.0,-1.2229,61.4587,-0.0686
5,30,4.0,714146da31e0afc82ac1606ae27920d6,513.82,21,28.57,0.0719,69.8087,0.0026
12,20,3.0,714146da31e0afc82ac1606ae27920d6,510.82,25,32.0,-1.2921,60.4356,-0.0734
10,30,3.0,714146da31e0afc82ac1606ae27920d6,507.41,26,34.62,-1.1831,61.7501,-0.0665
5,25,4.0,714146da31e0afc82ac1606ae27920d6,501.21,21,28.57,-0.1067,70.0327,-0.0039
5,25,3.0,714146da31e0afc82ac1606ae27920d6,495.3,32,28.12,-0.7331,67.3099,-0.0401
5,7,4.0,714146da31e0afc82ac1606ae27920d6,492.09,21,23.81,0.3011,73.4454,0.0096
10,30,2.5,714146da31e0afc82ac1606ae27920d6,491.05,32,31.25,-1.2028,65.0528,-0.0797
5,20,3.0,714146da31e0afc82ac1606ae27920d6,490.82,32,31.25,-0.7882,66.4114,-0.0435
10,14,3.0,714146da31e0afc82ac1606ae27920d6,483.82,26,30.77,-1.4758,63.2107,-0.0865
10,30,3.5,714146da31e0afc82ac1606ae27920d6,482.93,22,31.82,-1.1392,72.3309,-0.051
10,25,2.5,714146da31e0afc82ac1606ae27920d6,480.73,32,31.25,-1.2793,64.8956,-0.0853
10,25,3.5,714146da31e0afc82ac1606ae27920d6,473.9,22,31.82,-1.2658,72.1266,-0.0573
5,14,4.0,714146da31e0afc82ac1606ae27920d6,456.3,21,23.81,0.3277,73.412,0.0098
5,10,4.0,714146da31e0afc82ac1606ae27920d6,449.3,21,23.81,-0.0201,75.4987,-0.0006
5,20,4.0,714146da31e0afc82ac1606ae27920d6,447.08,21,23.81,0.4303,74.5137,0.0125
10,25,3.0,714146da31e0afc82ac1606ae27920d6,435.81,27,33.33,-1.6998,65.978,-0.0978
10,20,3.0,714146da31e0afc82ac1606ae27920d6,429.94,27,29.63,-1.7782,65.0899,-0.1035
5,30,3.5,714146da31e0afc82ac1606ae27920d6,353.44,27,25.93,-1.5928,77.9696,-0.0693
5,25,3.5,714146da31e0afc82ac1606ae27920d6,348.28,27,25.93,-1.6824,77.7838,-0.0739
