donchian_len,atr_len,atr_mult,csv_md5,final_eq,n_trades,win_rate,avg_ret,max_dd,sharpe
8,7,2.0,4c259467e927290e346f667b39a665db,714.25,106,23.58,-0.3032,31.3228,-0.1801
10,7,3.0,4c259467e927290e346f667b39a665db,714.13,70,25.71,-0.4617,33.3058,-0.2395
12,30,4.0,4c259467e927290e346f667b39a665db,713.87,47,31.91,-0.6853,30.9169,-0.2791
20,10,1.5,4c259467e927290e346f667b39a665db,712.39,83,21.69,-0.3972,32.7769,-0.2691
20,25,2.0,4c259467e927290e346f667b39a665db,712.09,68,27.94,-0.4856,31.6341,-0.3034
12,20,4.0,4c259467e927290e346f667b39a665db,710.84,48,31.25,-0.6812,32.3145,-0.2873
15,7,3.0,4c259467e927290e346f667b39a665db,710.8,60,25.0,-0.5504,31.2333,-0.2953
8,30,3.5,4c259467e927290e346f667b39a665db,710.62,58,34.48,-0.5621,31.6784,-0.2474
15,30,1.0,4c259467e927290e346f667b39a665db,710.48,116,26.72,-0.2875,31.21,-0.2466
20,7,2.0,4c259467e927290e346f667b39a665db,710.36,69,24.64,-0.4811,32.268,-0.2912
20,20,1.5,4c259467e927290e346f667b39a665db,709.67,84,25.0,-0.3985,32.3422,-0.2948
10,7,1.5,4c259467e927290e346f667b39a665db,709.46,120,24.17,-0.2746,32.9894,-0.1821
15,20,1.5,4c259467e927290e346f667b39a665db,709.23,97,24.74,-0.3451,32.1368,-0.2621
15,10,2.0,4c259467e927290e346f667b39a665db,708.84,81,23.46,-0.4108,33.9283,-0.2497
8,30,4.0,4c259467e927290e346f667b39a665db,708.66,51,29.41,-0.6424,31.4211,-0.2561
10,7,2.0,4c259467e927290e346f667b39a665db,708.58,98,23.47,-0.3359,33.4839,-0.191
12,20,2.0,4c259467e927290e346f667b39a665db,706.02,86,26.74,-0.3885,32.8441,-0.2177
10,10,1.5,4c259467e927290e346f667b39a665db,706.01,118,22.88,-0.2837,32.3512,-0.1896
12,30,3.5,4c259467e927290e346f667b39a665db,705.45,53,35.85,-0.6315,32.1754,-0.2813
15,30,2.5,4c259467e927290e346f667b39a665db,703.55,65,24.62,-0.5208,34.5116,-0.2655
12,30,2.0,4c259467e927290e346f667b39a665db,702.85,84,27.38,-0.4032,34.9866,-0.2244
25,7,3.0,4c259467e927290e346f667b39a665db,702.84,44,22.73,-0.7822,31.4389,-0.4305
12,10,3.0,4c259467e927290e346f667b39a665db,702.61,63,28.57,-0.5392,33.3411,-0.2703
12,20,2.5,4c259467e927290e346f667b39a665db,701.97,71,25.35,-0.4777,33.9405,-0.2386
5,20,3.0,4c259467e927290e346f667b39a665db,699.41,77,31.17,-0.44,31.2266,-0.2015
10,10,2.5,4c259467e927290e346f667b39a665db,699.32,80,27.5,-0.428,32.5859,-0.2219
8,14,2.0,4c259467e927290e346f667b39a665db,699.24,105,26.67,-0.3261,32.7479,-0.1919
10,14,2.0,4c259467e927290e346f667b39a665db,698.57,97,26.8,-0.354,35.0789,-0.2003
8,30,2.5,4c259467e927290e346f667b39a665db,697.65,82,25.61,-0.4199,33.6096,-0.2167
20,30,1.5,4c259467e927290e346f667b39a665db,697.08,84,25.0,-0.4194,33.2721,-0.3056
15,30,1.5,4c259467e927290e346f667b39a665db,696.89,97,24.74,-0.3628,32.5764,-0.2711
10,14,1.5,4c259467e927290e346f667b39a665db,696.86,119,22.69,-0.2921,33.3148,-0.1946
8,14,4.0,4c259467e927290e346f667b39a665db,695.97,53,26.42,-0.6532,33.8533,-0.2713
12,7,3.5,4c259467e927290e346f667b39a665db,694.54,58,24.14,-0.6032,37.5404,-0.2755
8,20,4.0,4c259467e927290e346f667b39a665db,693.89,52,28.85,-0.6703,33.5753,-0.2702
8,7,1.5,4c259467e927290e346f667b39a665db,693.11,131,25.95,-0.2691,32.9966,-0.1844
8,7,2.5,4c259467e927290e346f667b39a665db,692.91,88,26.14,-0.3994,32.8824,-0.216
20,30,4.0,4c259467e927290e346f667b39a665db,692.51,40,25.0,-0.8876,32.9866,-0.3777
20,25,3.5,4c259467e927290e346f667b39a665db,691.73,47,29.79,-0.7627,31.8466,-0.3927
10,25,3.5,4c259467e927290e346f667b39a665db,691.46,58,31.03,-0.6099,31.8712,-0.2742
12,25,4.0,4c259467e927290e346f667b39a665db,690.54,48,31.25,-0.7399,32.2116,-0.3054
15,25,2.5,4c259467e927290e346f667b39a665db,690.49,66,22.73,-0.5413,34.3014,-0.2795
12,25,2.0,4c259467e927290e346f667b39a665db,690.24,86,26.74,-0.4152,34.0603,-0.2366
15,25,4.0,4c259467e927290e346f667b39a665db,689.32,45,26.67,-0.7959,32.4236,-0.3345
20,20,4.0,4c259467e927290e346f667b39a665db,689.15,41,26.83,-0.8795,33.0135,-0.3921
20,14,4.0,4c259467e927290e346f667b39a665db,688.25,42,26.19,-0.8632,33.09,-0.4018
12,10,2.5,4c259467e927290e346f667b39a665db,688.1,75,26.67,-0.4796,33.0036,-0.2521
12,7,2.0,4c259467e927290e346f667b39a665db,687.77,90,22.22,-0.4007,34.0244,-0.2337
20,25,1.5,4c259467e927290e346f667b39a665db,687.52,85,24.71,-0.4307,33.3631,-0.3166
8,10,1.5,4c259467e927290e346f667b39a665db,687.44,129,25.58,-0.2799,33.5197,-0.1932
15,25,1.5,4c259467e927290e346f667b39a665db,687.29,98,24.49,-0.3733,32.6952,-0.2813
20,10,2.0,4c259467e927290e346f667b39a665db,686.8,72,23.61,-0.5085,34.5674,-0.3243
8,25,4.0,4c259467e927290e346f667b39a665db,686.1,52,28.85,-0.6916,32.6475,-0.2777
20,10,2.5,4c259467e927290e346f667b39a665db,685.71,60,25.0,-0.6109,34.2194,-0.3368
8,25,2.5,4c259467e927290e346f667b39a665db,684.94,83,25.3,-0.437,33.6048,-0.2277
12,7,3.0,4c259467e927290e346f667b39a665db,684.46,66,27.27,-0.5545,35.2602,-0.2867
10,30,2.5,4c259467e927290e346f667b39a665db,682.35,77,25.97,-0.4754,36.4036,-0.2359
15,25,3.5,4c259467e927290e346f667b39a665db,682.05,52,28.85,-0.7116,32.9338,-0.3385
8,14,1.5,4c259467e927290e346f667b39a665db,680.7,131,24.43,-0.2831,34.1058,-0.1965
5,14,3.0,4c259467e927290e346f667b39a665db,680.32,79,29.11,-0.4636,33.2841,-0.2145
20,30,2.5,4c259467e927290e346f667b39a665db,678.85,59,23.73,-0.6375,35.4005,-0.342
15,14,4.0,4c259467e927290e346f667b39a665db,678.85,47,25.53,-0.7954,34.9293,-0.3483
15,20,4.0,4c259467e927290e346f667b39a665db,677.38,46,26.09,-0.816,34.8701,-0.3448
15,7,2.5,4c259467e927290e346f667b39a665db,677.14,70,25.71,-0.539,34.0437,-0.2937
8,25,3.5,4c259467e927290e346f667b39a665db,674.19,61,34.43,-0.6207,33.5728,-0.283
12,14,2.0,4c259467e927290e346f667b39a665db,674.12,90,23.33,-0.423,34.9148,-0.2472
5,10,3.0,4c259467e927290e346f667b39a665db,673.2,82,29.27,-0.4621,34.1159,-0.2322
20,7,3.0,4c259467e927290e346f667b39a665db,673.11,55,23.64,-0.7019,34.7502,-0.3971
8,20,1.5,4c259467e927290e346f667b39a665db,672.78,131,25.19,-0.293,34.2629,-0.2147
5,25,3.0,4c259467e927290e346f667b39a665db,672.11,77,29.87,-0.4912,33.3621,-0.2238
12,25,3.5,4c259467e927290e346f667b39a665db,670.28,56,32.14,-0.6889,33.958,-0.3177
10,25,2.5,4c259467e927290e346f667b39a665db,669.83,78,25.64,-0.4931,36.1842,-0.2475
12,7,1.5,4c259467e927290e346f667b39a665db,669.53,111,22.52,-0.3501,36.116,-0.2368
10,20,1.5,4c259467e927290e346f667b39a665db,668.65,121,23.14,-0.3223,34.9057,-0.2275
20,25,4.0,4c259467e927290e346f667b39a665db,667.53,41,24.39,-0.9548,34.5597,-0.4117
12,14,1.5,4c259467e927290e346f667b39a665db,667.24,110,21.82,-0.3567,36.466,-0.2435
20,25,2.5,4c259467e927290e346f667b39a665db,665.42,60,23.33,-0.6601,35.4988,-0.3586
12,10,1.5,4c259467e927290e346f667b39a665db,664.83,110,21.82,-0.3601,36.5778,-0.2471
12,30,2.5,4c259467e927290e346f667b39a665db,661.74,73,23.29,-0.545,37.4133,-0.2763
